# ai-atlas vektor uji lintas bahasa — .Deckyx
# berkas: rng.tsv
# keterbandingan: BitExact
# SplitMix64: benih, indeks, keluaran u64, dan pecahan [0,1)
# seluruh pecahan ditulis sebagai 16 digit heksadesimal pola bit IEEE-754
# kolom: seed	index	next_u64_hex	next_f64_hex
0	0	e220a8397b1dcdaf	3fec4415072f63b9
0	1	6e789e6aa1b965f4	3fdb9e279aa86e58
0	2	06c45d188009454f	3f9b117462002500
0	3	f88bb8a8724c81ec	3fef1177150e4990
0	4	1b39896a51a8749b	3fbb39896a51a870
0	5	53cb9f0c747ea2ea	3fd4f2e7c31d1fa8
0	6	2c829abe1f4532e1	3fc6414d5f0fa298
0	7	c584133ac916ab3c	3fe8b082675922d5
0	8	3ee5789041c98ac3	3fcf72bc4820e4c4
0	9	f3b8488c368cb0a6	3fee77091186d196
0	10	657eecdd3cb13d09	3fd95fbb374f2c4e
0	11	c2d326e0055bdef6	3fe85a64dc00ab7b
1	0	910a2dec89025cc1	3fe22145bd91204b
1	1	beeb8da1658eec67	3fe7dd71b42cb1dd
1	2	f893a2eefb32555e	3fef12745ddf664a
1	3	71c18690ee42c90b	3fdc7061a43b90b2
1	4	71bb54d8d101b5b9	3fdc6ed53634406c
1	5	c34d0bff90150280	3fe869a17ff202a0
1	6	e099ec6cd7363ca5	3fec133d8d9ae6c7
1	7	85e7bb0f12278575	3fe0bcf761e244f0
1	8	491718de357e3da8	3fd245c6378d5f8e
1	9	cb435c8e74616796	3fe9686b91ce8c2c
1	10	6775dc7701564f61	3fd9dd771dc05592
1	11	9afcd44d14cf8bfe	3fe35f9a89a299f1
42	0	bdd732262feb6e95	3fe7bae644c5fd6d
42	1	28efe333b266f103	3fc477f199d93378
42	2	47526757130f9f52	3fd1d499d5c4c3e6
42	3	581ce1ff0e4ae394	3fd607387fc392b8
42	4	09bc585a244823f2	3fa378b0b4489040
42	5	de4431fa3c80db06	3febc8863f47901b
42	6	37e9671c45376d5d	3fcbf4b38e229bb4
42	7	ccf635ee9e9e2fa4	3fe99ec6bdd3d3c5
42	8	5705b8770b3d7dd5	3fd5c16e1dc2cf5e
42	9	9e54d738297f77ae	3fe3ca9ae7052fee
42	10	3474724a775b19bf	3fca3a39253bad8c
42	11	7e348a0e451650be	3fdf8d2283914594
2026	0	db9c559891948d23	3feb738ab3123291
2026	1	78bc927ded35455d	3fde2f249f7b4d50
2026	2	aad71e75cde2b88e	3fe55ae3ceb9bc57
2026	3	6280938ad5a104f2	3fd8a024e2b56840
2026	4	caa69c1e0798ff49	3fe954d383c0f31f
2026	5	b9f5a07176645a03	3fe73eb40e2ecc8b
2026	6	f3f8751c656739ae	3fee7f0ea38cace7
2026	7	cdf6c4e563d8e22d	3fe9bed89cac7b1c
2026	8	55b871711a2012f4	3fd56e1c5c468804
2026	9	3ae578fd14e84742	3fcd72bc7e8a7420
2026	10	55cba8d6b3a3e36d	3fd572ea35ace8f8
2026	11	e6e0d6dede7fa7e0	3fecdc1adbdbcff4
24301	0	09f1fd9d03f0a9b4	3fa3e3fb3a07e150
24301	1	553274161bbf8475	3fd54c9d0586efe0
24301	2	5d5bca4696b343b3	3fd756f291a5acd0
24301	3	70d29b6c7d22528d	3fdc34a6db1f4894
24301	4	0bf2b716f9915475	3fa7e56e2df322a0
24301	5	5eb7f92b95387cca	3fd7adfe4ae54e1e
24301	6	296cd0f2c21d7f90	3fc4b66879610ebc
24301	7	1289a69805c125b1	3fb289a69805c120
24301	8	daa27fb8dacb9e73	3feb544ff71b5973
24301	9	3ed08d59cb3f4727	3fcf6846ace59fa0
24301	10	58a5f17b6c15c659	3fd6297c5edb0570
24301	11	651ac042fa7b481a	3fd946b010be9ed2
18446744073709551615	0	e4d971771b652c20	3fec9b2e2ee36ca5
18446744073709551615	1	e99ff867dbf682c9	3fed33ff0cfb7ed0
18446744073709551615	2	382ff84cb27281e9	3fcc17fc26593940
18446744073709551615	3	6d1db36ccba982d2	3fdb476cdb32ea60
18446744073709551615	4	b4a0472e578069ae	3fe69408e5caf00d
18446744073709551615	5	d31dadbda438bb33	3fea63b5b7b48717
18446744073709551615	6	f14f2cf802083fa5	3fee29e59f004107
18446744073709551615	7	405da438a39e8064	3fd017690e28e7a0
18446744073709551615	8	c4fea708156e0c84	3fe89fd4e102adc1
18446744073709551615	9	031e50fe7bbd6e1c	3f88f287f3ddeb40
18446744073709551615	10	03b234961e71cf15	3f8d91a4b0f38e40
18446744073709551615	11	ce755952d3025da7	3fe9ceab2a5a604b
